"Country, Territory or Service"                ,Code ,Time Zone           ,DST
Marshall Islands                               ,+692 ,UTC+12:00           ,
Martinique                                     ,+596 ,UTC-04:00           ,
Mauritania                                     ,+222 ,UTC+00:00           ,
Mauritius                                      ,+230 ,UTC+04:00           ,
Mexico                                         ,+52  ,UTC-08:00 to -05:00 ,UTC-07:00 to -05:00
"Micronesia, Federated States of"              ,+691 ,UTC+10:00 to +11:00 ,
Moldova                                        ,+373 ,UTC+02:00           ,UTC+03:00
Monaco                                         ,+377 ,UTC+01:00           ,UTC+02:00
Mongolia                                       ,+976 ,UTC+07:00 to +08:00 ,
Montenegro                                     ,+382 ,UTC+01:00           ,UTC+02:00
Morocco                                        ,+212 ,UTC+01:00           ,
Mozambique                                     ,+258 ,UTC+02:00           ,
Myanmar                                        ,+95  ,UTC+06:30           ,
Namibia                                        ,+264 ,UTC+02:00           ,
Nauru                                          ,+674 ,UTC+12:00           ,
Nepal                                          ,+977 ,UTC+05:45           ,
Netherlands                                    ,+31  ,UTC+01:00           ,UTC+02:00
New Caledonia                                  ,+687 ,UTC+11:00           ,
New Zealand                                    ,+64  ,UTC+12:00           ,UTC+13:00
Nicaragua                                      ,+505 ,UTC-06:00           ,
Niger                                          ,+227 ,UTC+01:00           ,
Nigeria                                        ,+234 ,UTC+01:00           ,
Niue                                           ,+683 ,UTC-11:00           ,
North Macedonia                                ,+389 ,UTC+01:00           ,UTC+02:00
Norway                                         ,+47  ,UTC+01:00           ,UTC+02:00
Oman                                           ,+968 ,UTC+04:00           ,
Pakistan                                       ,+92  ,UTC+05:00           ,
Palau                                          ,+680 ,UTC+09:00           ,
"Palestine, State of"                          ,+970 ,UTC+02:00           ,UTC+03:00
Panama                                         ,+507 ,UTC-05:00           ,
Papua New Guinea                               ,+675 ,UTC+10:00 to +11:00 ,
Paraguay                                       ,+595 ,UTC-04:00           ,UTC-03:00
Peru                                           ,+51  ,UTC-05:00           ,
Philippines                                    ,+63  ,UTC+08:00           ,
Pitcairn Islands                               ,+64  ,UTC-08:00           ,
Poland                                         ,+48  ,UTC+01:00           ,UTC+02:00
Portugal                                       ,+351 ,UTC+00:00           ,UTC+01:00
Qatar                                          ,+974 ,UTC+03:00           ,
Réunion                                        ,+262 ,UTC+04:00           ,
Romania                                        ,+40  ,UTC+02:00           ,UTC+03:00
Russia                                         ,+7   ,UTC+02:00 to +12:00 ,
Rwanda                                         ,+250 ,UTC+02:00           ,
Saint Barthélemy                               ,+590 ,UTC-04:00           ,
Saint Helena                                   ,+290 ,UTC+00:00           ,
Saint Martin (France)                          ,+590 ,UTC-04:00           ,
Saint Pierre and Miquelon                      ,+508 ,UTC-03:00           ,UTC-02:00
Samoa                                          ,+685 ,UTC+13:00           ,UTC+14:00
San Marino                                     ,+378 ,UTC+01:00           ,UTC+02:00
São Tomé and Príncipe                          ,+239 ,UTC+00:00           ,
Saudi Arabia                                   ,+966 ,UTC+03:00           ,
Senegal                                        ,+221 ,UTC+00:00           ,
Serbia                                         ,+381 ,UTC+01:00           ,UTC+02:00
Seychelles                                     ,+248 ,UTC+04:00           ,
Sierra Leone                                   ,+232 ,UTC+00:00           ,
Singapore                                      ,+65  ,UTC+08:00           ,
Slovakia                                       ,+421 ,UTC+01:00           ,UTC+02:00
Slovenia                                       ,+386 ,UTC+01:00           ,UTC+02:00
Solomon Islands                                ,+677 ,UTC+11:00           ,
Somalia                                        ,+252 ,UTC+03:00           ,
South Africa                                   ,+27  ,UTC+02:00           ,
South Georgia and the South Sandwich Islands   ,+500 ,UTC-02:00           ,
South Sudan                                    ,+211 ,UTC+02:00           ,
Spain                                          ,+34  ,UTC+01:00           ,UTC+02:00
Sri Lanka                                      ,+94  ,UTC+05:30           ,
Sudan                                          ,+249 ,UTC+02:00           ,
Suriname                                       ,+597 ,UTC-03:00           ,
Sweden                                         ,+46  ,UTC+01:00           ,UTC+02:00
Switzerland                                    ,+41  ,UTC+01:00           ,UTC+02:00
Syria                                          ,+963 ,UTC+02:00           ,UTC+03:00
Taiwan                                         ,+886 ,UTC+08:00           ,
Tajikistan                                     ,+992 ,UTC+05:00           ,
Tanzania                                       ,+255 ,UTC+03:00           ,
